id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KC7BVJ5H7FDNVQCQNQ4G9AKY,01KC79X2YHB00QNBFZQY5QH2DZ,2025-12-11T18:47:57.361828855Z,,,D,2025-12-11T18:48:00.570509624Z,01KC79X3KPYBRKKGVN4JT64MTF,2025-12-11T18:47:57.361828855Z,01KC7B94F4XX68YHBM7ZRFE46E,2025-12-11T18:47:57.361828855Z,01KC7BNFGP7G5KFX57YRY5N72N,2025-12-11T18:47:57.361828855Z
01KC79QZPREPSTRTNC7SMJPQMF,01KC792PXGTWWGJ3W8WN91YRG2,2025-12-11T18:11:03.000844699Z,19,2025-12-11T18:11:13.946880459Z,D,2025-12-11T18:11:13.151175762Z,01KC792PXTR0N6KYBS1YKZHZ15,2025-12-11T18:11:03.000844699Z,01KC79F5KVWH11A1HGCQZ9K72R,2025-12-11T18:11:03.000844699Z,01KC79PT865PSZW9SWBF1A7DWG,2025-12-11T18:11:03.000844699Z
01KC79VCYR0KWT79B0NVMJF0ZW,01KC792NZQW5MQZPSHSTMQ5DHE,2025-12-11T18:12:54.87259489Z,29,2025-12-11T18:12:58.230605422Z,D,2025-12-11T18:12:58.15534583Z,01KC792P02FDQSKTX7R48P6G43,2025-12-11T18:12:54.87259489Z,01KC79H1N3EJXB38V327AHPMFP,2025-12-11T18:12:54.87259489Z,01KC79NG6K35RV1REKQRGXVXH5,2025-12-11T18:12:54.87259489Z
01KC79VMQ78BS6FHMYK42PT9WR,01KC792NB401Z43FH75BN7VEQG,2025-12-11T18:13:02.824003072Z,22,2025-12-11T18:14:00.089084329Z,C,2025-12-11T18:13:57.726880682Z,01KC792NBGNJFX9E924E6B4P1D,2025-12-11T18:13:02.824003072Z,01KC79GCWM9WHGR9R4SX5XBRJ6,2025-12-11T18:13:02.824003072Z,01KC79MA96159HPBS52VZPSKAH,2025-12-11T18:13:02.824003072Z
01KC7AAP1SVQZDN37Y09STS3V7,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:21:15.705099315Z,10,2025-12-11T18:22:45.624055566Z,A,2025-12-11T18:21:23.974257495Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:21:15.705099315Z,01KC7A1KQ313ZNXQCVJ2X1ACYZ,2025-12-11T18:21:15.705099315Z,01KC7AADJRR0VGEXDQ2MRX0KPJ,2025-12-11T18:21:15.705099315Z
01KC7ABDBNQ9R51QQSMZ5H7HF1,01KC79VH8D3XDVE6Y37QAVSJQX,2025-12-11T18:21:39.573149218Z,20,2025-12-11T18:21:46.658796586Z,B,2025-12-11T18:21:46.559866532Z,01KC79VHBZ10QQXP0BWPHPEQ88,2025-12-11T18:21:39.573149218Z,01KC79VM9MJR7NCG9CNRZ8RRM0,2025-12-11T18:21:39.573149218Z,01KC79ZGCN1AC3HNV6VV3H3S3J,2025-12-11T18:21:39.573149218Z
01KC7AJSZ21PP22FMWY60RDS6Z,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:25:41.858279955Z,10,2025-12-11T18:26:33.703852475Z,A,2025-12-11T18:26:10.904726865Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:25:41.858279955Z,01KC7A1KQ313ZNXQCVJ2X1ACYZ,2025-12-11T18:25:41.858279955Z,01KC7AADPZMFBBB3RADH923RMG,2025-12-11T18:25:41.858279955Z
01KC79JNMH1A95EADYTZD3YVP4,01KC792RDGGK8CDH8Q95GZY5QB,2025-12-11T18:08:08.849567772Z,10,2025-12-11T18:08:12.911134Z,B,2025-12-11T18:08:12.893433683Z,01KC792RDTTPADJ08M6VFTYHNX,2025-12-11T18:08:08.849567772Z,01KC79BHJKGC0XHEWP58WMSD78,2025-12-11T18:08:08.849567772Z,01KC79GJWNHT16XP9J2AQT1NGG,2025-12-11T18:08:08.849567772Z
01KC79RPQ8937ZJH75NV883GGV,01KC792PMN6AE3E5M91Z7BDJS6,2025-12-11T18:11:26.568284684Z,0,2025-12-11T18:11:34.137276111Z,A,2025-12-11T18:11:34.078540678Z,01KC792PN2B9Z90QKN7KTG1F5T,2025-12-11T18:11:26.568284684Z,01KC79H85M2SJHCG7ES7XGG024,2025-12-11T18:11:26.568284684Z,01KC79PQA7BTNB68PPEXPEJ4ZQ,2025-12-11T18:11:26.568284684Z
01KC79XHSPQXK7NXK49DSV4N21,01KC792NB401Z43FH75BN7VEQG,2025-12-11T18:14:05.366980207Z,19,2025-12-11T18:14:22.652381013Z,D,2025-12-11T18:14:22.580249277Z,01KC792NBGNJFX9E924E6B4P1D,2025-12-11T18:14:05.366980207Z,01KC79G73DX1BWBNNZBRW537F6,2025-12-11T18:14:05.366980207Z,01KC79MA9CQAMPAB876F46HD4W,2025-12-11T18:14:05.366980207Z
01KC7A0W5K6JPSPETXQBXYDXKN,01KC79Q7J7QADCZGK8XSKJE216,2025-12-11T18:15:54.291977876Z,,,B,2025-12-11T18:16:02.194681583Z,01KC79Q7KZQDNHF5M1TY59AJCV,2025-12-11T18:15:54.291977876Z,01KC79VJYGBR0EM7VEEMCE0MFN,2025-12-11T18:15:54.291977876Z,01KC79Z2DYB40V8RPWF883TX7T,2025-12-11T18:15:54.291977876Z
01KC7A2W5G4E6XTEAC71EBYW1G,01KC79Q9731QPJ5QS5ZM23RYR5,2025-12-11T18:16:59.824217104Z,,,B,2025-12-11T18:17:02.365615766Z,01KC79Q99654F9ET04XN20XZEB,2025-12-11T18:16:59.824217104Z,01KC79MEVDC6YXX778NYECD3DD,2025-12-11T18:16:59.824217104Z,01KC79WYC6DADSBZ7J29NZZ0MT,2025-12-11T18:16:59.824217104Z
